HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.S_No,Input.Review,Input.Rating,Answer.sentiment.label,Approve,Reject
356ZPKYPUHR8ZGCYN3PMVDOLNF9PYS,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3X31TUMD7YWO49KR9OV7OSZF7CJ1LN,A21YRPB8O8QP5Y,Submitted,Mon Nov 08 08:15:44 PST 2021,Mon Nov 08 08:16:05 PST 2021,Wed Nov 10 08:16:05 PST 2021,,,,21,0% (0/0),0% (0/0),0% (0/0),1,Auto ships works great. I have it timed to arrive just when we are on the last bottle.  They have been good about working with me to set up a schedule for auto delivery,3,Real,,
356ZPKYPUHR8ZGCYN3PMVDOLNF9PYS,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3D8YOU6S9FUMUL8IO8ZPABMFSES6UK,A2MCG5W6LHSRG9,Submitted,Mon Nov 08 08:15:50 PST 2021,Mon Nov 08 08:21:23 PST 2021,Wed Nov 10 08:21:23 PST 2021,,,,333,0% (0/0),0% (0/0),0% (0/0),1,Auto ships works great. I have it timed to arrive just when we are on the last bottle.  They have been good about working with me to set up a schedule for auto delivery,3,Real,,
356ZPKYPUHR8ZGCYN3PMVDOLNF9PYS,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3YJ6NA41JCQLQBFTR5UK994L63JJP6,A305BXWHFK8287,Submitted,Mon Nov 08 08:15:32 PST 2021,Mon Nov 08 09:05:50 PST 2021,Wed Nov 10 09:05:50 PST 2021,,,,3018,0% (0/0),0% (0/0),0% (0/0),1,Auto ships works great. I have it timed to arrive just when we are on the last bottle.  They have been good about working with me to set up a schedule for auto delivery,3,Fake,,
356ZPKYPUHR8ZGCYN3PMVDOLNF9PYS,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3SKRO2GZ721DK329OOJ69SM0ICE1KK,A3TNLC6XGYNDKS,Submitted,Mon Nov 08 08:15:44 PST 2021,Mon Nov 08 08:15:49 PST 2021,Wed Nov 10 08:15:49 PST 2021,,,,5,0% (0/0),0% (0/0),0% (0/0),1,Auto ships works great. I have it timed to arrive just when we are on the last bottle.  They have been good about working with me to set up a schedule for auto delivery,3,Real,,
3HXK2V1N4KPCLIQSRZS4S09O79S2GL,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3MHW492WW1NOW3IAGEGBVTLKWLFVM7,A108BQB0ENJDKV,Submitted,Mon Nov 08 08:15:39 PST 2021,Mon Nov 08 08:16:18 PST 2021,Wed Nov 10 08:16:18 PST 2021,,,,39,0% (0/0),0% (0/0),0% (0/0),2,Service Was good!!! And Delivery was on time.,4,Fake,,
3HXK2V1N4KPCLIQSRZS4S09O79S2GL,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3A9AA95ATXWDJC0823QQ8ZLGO32P56,A1NRZ7O1TEJB1V,Submitted,Mon Nov 08 09:16:00 PST 2021,Mon Nov 08 09:33:01 PST 2021,Wed Nov 10 09:33:01 PST 2021,,,,1021,0% (0/0),0% (0/0),0% (0/0),2,Service Was good!!! And Delivery was on time.,4,Real,,
3HXK2V1N4KPCLIQSRZS4S09O79S2GL,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,33NF62TLXKCKFKIDEDPCDSIMCTDJK5,A2P3OVSEX9AY3H,Submitted,Mon Nov 08 08:15:29 PST 2021,Mon Nov 08 08:16:23 PST 2021,Wed Nov 10 08:16:23 PST 2021,,,,54,0% (0/0),0% (0/0),0% (0/0),2,Service Was good!!! And Delivery was on time.,4,Real,,
3HXK2V1N4KPCLIQSRZS4S09O79S2GL,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,35DR22AR5EUFE6FVABCENF9ZC56X3W,A3TNLC6XGYNDKS,Submitted,Mon Nov 08 08:15:41 PST 2021,Mon Nov 08 08:15:46 PST 2021,Wed Nov 10 08:15:46 PST 2021,,,,5,0% (0/0),0% (0/0),0% (0/0),2,Service Was good!!! And Delivery was on time.,4,Real,,
3YD0MU1NC2BIXSAVBBHPS5FTKU17AU,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,38BQUHLA9XAT6J9DF2UX01RC0SIOMY,A2NTFWFW760HDO,Submitted,Mon Nov 08 08:15:40 PST 2021,Mon Nov 08 08:17:17 PST 2021,Wed Nov 10 08:17:17 PST 2021,,,,97,0% (0/0),0% (0/0),0% (0/0),3,Will always use this service! Great products!,4,Fake,,
3YD0MU1NC2BIXSAVBBHPS5FTKU17AU,3TZJMY6N8M43WBVHR3FF86IOC66G73,Check whether the Review is Fake or Real,Analysis of the CSV file Containing Review and to detect them whether they are fake or Real,"sentiment, text",$0.10 ,Mon Nov 08 08:15:09 PST 2021,4,BatchId:4596135;OriginalHitTemplateId:928390909;,3600,172800,Thu Nov 11 08:15:09 PST 2021,,,3H0W84IWBLCYR89GQWNIHOR82DBREL,A2QBI4PUTOSV12,Submitted,Mon Nov 08 08:15:47 PST 2021,Mon Nov 08 08:33:21 PST 2021,Wed Nov 10 08:33:21 PST 2021,,,,1054,0% (0/0),0% (0/0),0% (0/0),3,Will always use this service! Great products!,4,Real,,
