Review,Label
Auto ships works great. I have it timed to arrive just when we are on the last bottle.  They have been good about working with me to set up a schedule for auto delivery,Real
Service Was good!!! And Delivery was on time.,Fake
Will always use this service! Great products!,Real
Great products and great service,Fake
A friend recommended this page to me because the supplements they sell are very effective in boosting my immune system. And just as I thank my friend for telling me about this I also thank BetterWayHealth for the fantastic supplements that have helped me and for the kind service provided,Real
Very happy with products and delivery,Real
The products were very helpful in getting my supplements level to the point,Fake
Always great products and great service with Better Way Health!,Real
Health is wealth.Very good experience and totally satisfied.,Real
Great Products and also satisfied with the service.,Fake
It would be helpful if they could improve the payment services.,Fake
Had trouble navigating website and accessing discount code but a nice rep followed up and helped sort it out. Thanks.,Real
If the delivery is within the expected time  it would be nice. Bit frustating if the order is delayed.,Fake
Everyone is always helpful.  I had to change  payment methods and delivery dates and it is always a pleasure to talk to them.,Real
Have been using Better Way Health Beta Glucan consistently for 3 years. Love the product backed up by scientific research. Ordering is a breeze & their text notification pre-auto shipment makes it super easy if I need to amend my order. Great customer service. Also recommend the Vitamin D & Curcumin.,Real
Poor Service,Fake
Excellent service,Real
Premium quality of supplements. Great Shop would recommend this store to my friends,Real
Easy to order and the text message from Better Way Health is great way for me to monitor or adjust future ordering.,Real
Products are Good but it would be nice if some improvements are made in the way to order. ,Fake
Best phone service. They have all your info right there to help you place your next order. All representatives I've dealt with over the years  have been very friendly.,Real
The customer service was so good and it was so helpful.,Fake
The benefits of better health supplement is to get you in tip top shape.,Real
I couldnt get my phone to purchase my items  so I ended up calling.  I got excellent help and was able to finish my order.  She was very helpful in helping me order the right items for my situation.,Real
This company is a must-visit for everyone on a diet who wants to try a dieting supplement. The Quality of the products were top notch.,Fake
This company is a must-visit for everyone on a diet who wants to try a dieting supplement. They have a trustworthy  organic and non-toxic supplement and you may choose and choose which vitamins you need based on your health condition.,Real
Some 0f the supplements quality were bad and disappointing.,Fake
